FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1279,IAD,"Washington, DC",MIA,"Miami, FL",1745,1736.0,-9.0,14.0,1750.0,2009.0,6.0,2031,2015.0,-16.0,1.0,B,0.0,166.0,159.0,139.0,921.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1273,SFO,"San Francisco, CA",OGG,"Kahului, HI",1100,1053.0,-7.0,22.0,1115.0,1429.0,4.0,1438,1433.0,-5.0,0.0,,0.0,338.0,340.0,314.0,2338.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1259,DEN,"Denver, CO",ORD,"Chicago, IL",1345,1334.0,-11.0,12.0,1346.0,1641.0,11.0,1701,1652.0,-9.0,0.0,,0.0,136.0,138.0,115.0,888.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1253,IAH,"Houston, TX",ORD,"Chicago, IL",700,654.0,-6.0,17.0,711.0,918.0,11.0,941,929.0,-12.0,1.0,D,0.0,161.0,155.0,127.0,925.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1251,BOS,"Boston, MA",ORD,"Chicago, IL",1126,1114.0,-12.0,10.0,1124.0,1228.0,8.0,1310,1236.0,-34.0,0.0,,0.0,164.0,142.0,124.0,867.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1249,IAH,"Houston, TX",MSY,"New Orleans, LA",2020,2013.0,-7.0,14.0,2027.0,2113.0,3.0,2130,2116.0,-14.0,0.0,,0.0,70.0,63.0,46.0,305.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1248,IAD,"Washington, DC",MSY,"New Orleans, LA",1740,1730.0,-10.0,9.0,1739.0,1856.0,2.0,1942,1858.0,-44.0,1.0,C,0.0,182.0,148.0,137.0,955.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1240,IAD,"Washington, DC",DEN,"Denver, CO",1630,1621.0,-9.0,12.0,1633.0,1801.0,13.0,1824,1814.0,-10.0,0.0,,0.0,234.0,233.0,208.0,1452.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1235,EWR,"Newark, NJ",IAH,"Houston, TX",1010,1006.0,-4.0,14.0,1020.0,1251.0,9.0,1319,1300.0,-19.0,0.0,,0.0,249.0,234.0,211.0,1400.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1229,HNL,"Honolulu, HI",LAX,"Los Angeles, CA",1413,1406.0,-7.0,16.0,1422.0,2058.0,6.0,2145,2104.0,-41.0,1.0,B,0.0,332.0,298.0,276.0,2556.0,,,,,
